Trade ID,Asset,Buy/Sell,Price,Volume,Date,Outcome,Tags,RSI,Volume_Change_Pct,Sentiment_Score
T020,DOGE,Sell,0.19293008,26581.11058,4/21/2024,Neutral,"breakout,long-term",15.47,-50.61,0.78
T021,ETH,Sell,2297.131543,15.64795425,4/22/2024,Neutral,"trend-follow,event-driven",72.17,-10.73,-0.3
T022,SOL,Buy,97.23006087,128.7077439,4/25/2024,Loss,"trend-follow,volume-spike,stop-loss",34.44,2.39,-0.34
T023,DOGE,Buy,0.20832195,60000,4/29/2024,Neutral,"meme,mean-revert",65.13,-55.29,0.24
T024,BTC,Buy,49451.89471,1.08223984,4/30/2024,Profit,"momentum,swing",46.8,22.44,0.84
T025,PEPE,Sell,1.86E-05,41130625.51,5/1/2024,Profit,"mean-revert,breakout",48.84,23.65,0.24
T026,PEPE,Buy,5.75E-06,61894373.87,5/3/2024,Profit,"swing,long-term,breakout",40.23,95.76,0.42
T027,DOGE,Sell,0.24406174,44163.43095,5/6/2024,Neutral,"stop-loss,volume-spike,breakout",37.3,-50.59,-0.12
T028,BTC,Buy,42345.25327,3,5/11/2024,Neutral,"trend-follow,event-driven,intraday",29.3,-58.14,0.07
T029,BTC,Sell,51775.63054,0.82515251,5/17/2024,Profit,"mean-revert,volume-spike",63.77,94.89,0.62
T030,DOGE,Sell,0.23143979,24250.01037,5/22/2024,Loss,"breakout,swing",45.4,-50.97,0.5
T031,SOL,Sell,54.37123437,138.3208139,5/30/2024,Profit,"intraday,swing,event-driven",37.69,48.54,0.31
T032,BTC,Buy,55087.96019,1.37875131,5/31/2024,Profit,"stop-loss,event-driven,mean-revert",46.49,73.17,0.48
T033,ETH,Buy,2929.090963,15.46467838,6/1/2024,Profit,"volume-spike,long-term",54.84,-23.09,0.36
T034,ETH,Sell,2395.173049,17.65080552,6/4/2024,Neutral,"range-trade,long-term",61.73,-39.48,-0.56
T035,PEPE,Buy,1.28E-05,48733382.67,6/9/2024,Neutral,"news-sentiment,volume-spike",58.15,51.4,-1
T036,PEPE,Buy,3.10E-06,65858467.47,6/10/2024,Profit,"rsi-divergence,momentum",51.34,29.52,0.89
T037,BTC,Buy,65282.06534,0.79784727,6/17/2024,Profit,"intraday,swing,stop-loss",52.95,39.54,0.19
T038,PEPE,Buy,1.76E-05,72334097.98,6/23/2024,Profit,"swing,mean-revert",42.92,53.56,0.13
T039,DOGE,Sell,0.22903555,32016.95026,6/24/2024,Neutral,"range-trade,swing",64.53,-18.08,-0.06
T040,PEPE,Sell,8.44E-06,98062435.13,6/24/2024,Loss,"momentum,meme,event-driven",51.23,-9.5,0.3
T041,PEPE,Buy,1.58E-05,50982836.95,7/18/2024,Loss,"volume-spike,rsi-divergence",65.88,-60.35,-0.49
T042,SOL,Sell,154.0829427,87.82971672,7/25/2024,Neutral,"event-driven,breakout",32.9,-43.66,1
T043,ETH,Buy,3217.970209,16.03227898,7/31/2024,Neutral,"news-sentiment,breakout,volume-spike",28.63,-11.78,0.16
T044,SOL,Buy,37.99692369,56.76546762,8/22/2024,Neutral,"volume-spike,event-driven,news-sentiment",63.27,-8.58,-0.21
T045,DOGE,Buy,0.20819503,30134.30248,9/26/2024,Neutral,"news-sentiment,event-driven",48.28,16.2,1
T046,ETH,Sell,3602.99608,30,10/5/2024,Profit,"momentum,trend-follow",57.73,30.55,0.36
T047,PEPE,Sell,1.40E-05,97160405.3,10/20/2024,Profit,"long-term,news-sentiment",40.97,84.09,0.09
T048,DOGE,Sell,0.26704076,28640.82718,10/21/2024,Profit,"trend-follow,rsi-divergence",88.08,30.96,-0.19
T049,BTC,Sell,35818.44205,1.40096125,10/21/2024,Profit,"volume-spike,event-driven",73.29,-7.58,-0.1
T050,PEPE,Buy,1.42E-05,49276717.64,11/5/2024,Profit,"rsi-divergence,volume-spike",62.19,64.25,0.06
T051,PEPE,Sell,7.35E-06,75548514.1,11/7/2024,Neutral,"intraday,swing,trend-follow",74.7,-30.28,-0.23
T052,ETH,Sell,2210.284595,15.83000302,11/12/2024,Neutral,"meme,range-trade",39.5,18.56,0.04
T053,PEPE,Sell,1.06E-05,63562028.37,11/12/2024,Profit,"trend-follow,rsi-divergence,momentum",48.04,30.02,-0.43
T054,BTC,Sell,69174.10128,0.93207578,11/26/2024,Neutral,"momentum,mean-revert",57.75,-21.96,0.02
T055,DOGE,Sell,0.14886322,23396.76756,11/26/2024,Neutral,"event-driven,range-trade",38.11,5.72,-0.42
T056,SOL,Buy,103.3348185,49.05452677,11/27/2024,Neutral,"news-sentiment,momentum",38.25,-2.88,0.51
T057,DOGE,Sell,0.19794665,30387.66011,12/7/2024,Neutral,"momentum,volume-spike,event-driven",67.14,40.08,0.5
T058,ETH,Sell,3664.616813,30,12/13/2024,Neutral,"rsi-divergence,range-trade",57.28,-20.91,0.06
T059,ETH,Sell,2357.006183,12.20702128,12/15/2024,Neutral,"meme,momentum",44.79,43.17,0.74
T060,ETH,Sell,2670.814265,4.4347013,12/26/2024,Profit,"news-sentiment,event-driven",60.27,25.61,0.06
T061,SOL,Buy,92.25994288,25.65427647,1/6/2025,Profit,"event-driven,range-trade,rsi-divergence",36.73,21.48,0.18
T062,ETH,Buy,3983.07455,30,1/26/2025,Profit,"stop-loss,intraday,range-trade",28.46,56.53,0.11
T063,PEPE,Buy,2.07E-06,32521218.38,2/1/2025,Profit,"intraday,range-trade",37.76,62.63,-0.78
T064,ETH,Buy,2255.182901,21.19305848,2/7/2025,Neutral,"intraday,news-sentiment,rsi-divergence",37.14,-32.84,0.34
T065,BTC,Buy,67899.84959,0.94458157,2/23/2025,Loss,"mean-revert,swing",41.51,13.99,-0.15
T066,ETH,Sell,2708.146028,30,3/18/2025,Loss,"meme,stop-loss,volume-spike",10,-30.98,-0.03
T067,SOL,Buy,155.9838472,79.35863574,3/22/2025,Profit,"long-term,volume-spike,momentum",40.97,40.41,0.65
T068,PEPE,Sell,1.60E-05,38889124.94,3/30/2025,Profit,"swing,rsi-divergence,stop-loss",52.31,12.33,-0.47
T069,SOL,Sell,73.15247467,129.7718226,4/24/2025,Neutral,"stop-loss,mean-revert,breakout",63.97,-23.57,-0.05
T070,DOGE,Buy,0.29152056,60000,4/25/2025,Profit,"event-driven,trend-follow",52.71,115.74,0
T071,PEPE,Buy,1.51E-05,23179256.39,4/27/2025,Profit,"momentum,event-driven,meme",49.6,12.41,1
T072,DOGE,Buy,0.15378932,27061.56038,5/8/2025,Profit,"meme,momentum,news-sentiment",62.81,-0.84,-0.21
T073,PEPE,Buy,1.46E-05,120000000,5/12/2025,Profit,"swing,breakout,mean-revert",76.33,0.04,0.59
T074,BTC,Buy,47494.69731,1.06044497,5/16/2025,Profit,"intraday,long-term",52.26,23.67,1
T075,PEPE,Buy,8.81E-06,51676789.91,6/12/2025,Neutral,"rsi-divergence,range-trade,stop-loss",61.38,-20.91,-0.02
T076,SOL,Buy,108.9330155,142.4246852,7/14/2025,Profit,"momentum,volume-spike",54.4,-18.57,1
T077,BTC,Sell,71466.57727,0.86026977,7/14/2025,Neutral,"volume-spike,mean-revert",53.06,21.59,-0.03
T078,ETH,Sell,1896.023614,11.21838087,7/19/2025,Profit,"meme,long-term",33.78,77.49,0.54
T079,ETH,Sell,3874.537387,20.53898202,7/29/2025,Neutral,"rsi-divergence,momentum",43.13,-15.04,-0.09
T080,DOGE,Sell,0.13536194,30580.07134,8/1/2025,Loss,"stop-loss,intraday",50.7,-8,0.41
